Overall_Fmax,Overall_AUPRC,MFO_Fmax,MFO_AUPRC,BPO_Fmax,BPO_AUPRC,CCO_Fmax,CCO_AUPRC,Feature,Architecture
0.306,0.214,0.288,0.199,0.115,0.214,0.341,0.234,P,Transformer
0.299,0.207,0.276,0.239,0.1,0.186,0.325,0.205,PS,Transformer
0.305,0.221,0.282,0.25,0.123,0.207,0.316,0.207,PSD,Transformer
0.335,0.241,0.297,0.298,0.12,0.188,0.356,0.258,E,Transformer
0.331,0.237,0.296,0.279,0.115,0.191,0.36,0.265,ES,Transformer
0.327,0.259,0.287,0.325,0.108,0.198,0.36,0.282,ESD,Transformer
0.329,0.263,0.297,0.284,0.107,0.229,0.365,0.294,PE,Transformer
0.343,0.321,0.318,0.352,0.154,0.298,0.355,0.321,PES,Transformer
0.333,0.253,0.307,0.269,0.13,0.23,0.347,0.274,PESD,Transformer
