Overall_Fmax,Overall_AUPRC,MFO_Fmax,MFO_AUPRC,BPO_Fmax,BPO_AUPRC,CCO_Fmax,CCO_AUPRC,Feature,Architecture
0.294,0.169,0.266,0.159,0.1,0.159,0.337,0.202,P,MLP
0.293,0.151,0.25,0.162,0.068,0.131,0.335,0.172,PS,MLP
0.263,0.138,0.235,0.133,0.074,0.149,0.294,0.126,PSD,MLP
0.301,0.224,0.264,0.215,0.112,0.214,0.333,0.256,E,MLP
0.308,0.216,0.276,0.223,0.118,0.202,0.349,0.234,ES,MLP
0.312,0.207,0.257,0.196,0.106,0.186,0.337,0.261,ESD,MLP
0.312,0.223,0.286,0.196,0.116,0.207,0.354,0.288,PE,MLP
0.286,0.19,0.249,0.173,0.094,0.169,0.323,0.251,PES,MLP
0.304,0.181,0.256,0.17,0.109,0.154,0.346,0.243,PESD,MLP
